ticker,lvl,mdate,mprice_date,company_name,error,invcomticker,invcomname,news,lead,
FOMC,itermebuyprice2,4/27/2023 16:27,5/2/2023,"Fomo Worldwide, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
CSTR,itermebuyprice2,5/2/2023 17:16,4/25/2023,"Capstar Financial Holdings, Inc.",index -2 is out of bounds for axis 0 with size 0,1,1,1,DOUBLE CHECK THESE,
SMMF,itermebuyprice2,5/2/2023 16:41,4/28/2023,"Summit Financial Group, Inc.",index -2 is out of bounds for axis 0 with size 0,0,0,1,SEARCH GOOGLE FOR STOCK PRICE TODAY,
HMNF,itermebuyprice2,3/25/2023 15:43,5/2/2023,Hmn Financial Inc,index -2 is out of bounds for axis 0 with size 0,,,,OR HISTORY,
CVCY,itermebuyprice2,4/29/2023 14:01,4/28/2023,Central Valley Community Bancorp,index -2 is out of bounds for axis 0 with size 0,,,,,THEY SHOULD SHOW UP IN INVESTING>COM WEIRDLY….DESPITE NOT WORKING IN THE SEARCH BAR :?????
BECN,itermebuyprice2,4/29/2023 17:42,4/28/2023,Beacon Roofing Supply Inc,index -2 is out of bounds for axis 0 with size 0,0,0,1,QXO,
SCWX,itermebuyprice2,3/25/2023 16:13,4/28/2023,Secureworks Corp,index -2 is out of bounds for axis 0 with size 0,,,,,
NEP,itermebuyprice2,4/29/2023 16:04,4/28/2023,"Nextera Energy Partners, LP",index -2 is out of bounds for axis 0 with size 0,,,,,
BCOV,itermebuyprice2,3/29/2023 16:16,4/19/2023,Brightcove Inc,index -2 is out of bounds for axis 0 with size 0,,,,,
AHNR,itermebuyprice2,4/27/2023 18:24,4/5/2023,Athena Gold Corp,index -2 is out of bounds for axis 0 with size 0,,,,,
AULT,itermebuyprice2,4/25/2023 19:05,3/31/2023,"Ault Alliance, Inc.",index -2 is out of bounds for axis 0 with size 0,,,,,
HHC,itermebuyprice2,3/28/2023 17:29,4/6/2023,Howard Hughes Corp,index -2 is out of bounds for axis 0 with size 0,,,,,
SFT,itermebuyprice2,4/27/2023 17:01,3/30/2023,"Shift Technologies, Inc.",index -2 is out of bounds for axis 0 with size 0,0,0,1,,
